# Haivino — Change Log
# Format: YYYY-MM-DD HH:MM | ACTION | path | short reason
# Actions: CREATE | UPDATE | RENAME | DELETE
# Append-only. One line per file change. See .cursor/rules/change-log.mdc

2026-06-15 10:09 | CREATE | .cursor/rules/change-log.mdc | rule: log every file change in CHANGES.log
2026-06-15 10:09 | CREATE | .cursor/rules/update-docs.mdc | rule: keep README.md and AGENTS.md current
2026-06-15 10:09 | CREATE | CHANGES.log | initialize project audit trail
2026-06-15 10:09 | CREATE | README.md | initial readme for wine bistrot website project
2026-06-15 10:09 | CREATE | AGENTS.md | initial agent guidance for wine bistrot project
2026-06-15 10:29 | CREATE | cipassoroma/README.md | index for cipassoitalia.it reference dossier
2026-06-15 10:29 | CREATE | cipassoroma/00-quick-facts.md | at-a-glance facts about CiPASSO Roma
2026-06-15 10:29 | CREATE | cipassoroma/01-brand-and-positioning.md | brand pillars, voice, audience for CiPASSO
2026-06-15 10:29 | CREATE | cipassoroma/02-sitemap-and-pages.md | discovered pages and URL status for cipassoitalia.it
2026-06-15 10:29 | CREATE | cipassoroma/03-content-it.md | verbatim Italian copy captured from cipassoitalia.it
2026-06-15 10:29 | CREATE | cipassoroma/04-content-en.md | English copy captured from /en/ of cipassoitalia.it
2026-06-15 10:29 | CREATE | cipassoroma/05-tech-stack.md | inferred tech stack of cipassoitalia.it (WordPress/Yoast)
2026-06-15 10:29 | CREATE | cipassoroma/06-design-and-ux-notes.md | layout and UX patterns observed on CiPASSO site
2026-06-15 10:29 | CREATE | cipassoroma/07-adaptation-ideas-for-haivino.md | takeaways and open questions for Haivino
2026-06-15 10:29 | UPDATE | README.md | point to cipassoroma/ reference dossier and update structure
2026-06-15 10:29 | UPDATE | AGENTS.md | record cipassoroma/ as the location of the Roma reference material
2026-06-15 10:47 | CREATE | .cursor/rules/tech-and-ux-bias.mdc | rule: prefer newer/better tech & UX at same cost; cipasso is reference only
2026-06-15 10:47 | UPDATE | AGENTS.md | add tech-and-ux-bias rule to always-on rules and working agreements
2026-06-15 10:47 | UPDATE | README.md | document tech-and-ux-bias convention and rule in structure
2026-06-15 10:59 | CREATE | utils/contacts.json | canonical HAiViNO contact info (address, phone, links, tbd fields)
2026-06-15 10:59 | CREATE | utils/README.md | document purpose and conventions of utils/ folder
2026-06-15 10:59 | UPDATE | README.md | add utils/ to structure tree and HAiViNO location section
2026-06-15 10:59 | UPDATE | AGENTS.md | reference HAiViNO location and utils/contacts.json as canonical source
2026-06-15 11:06 | CREATE | media/placeholders/placeholder-logo.png | AI cartoon placeholder: wine-glass + grape-leaf logo mark
2026-06-15 11:06 | CREATE | media/placeholders/placeholder-hero.png | AI cartoon placeholder: cozy wine bistrot exterior at dusk
2026-06-15 11:06 | CREATE | media/placeholders/placeholder-wine.png | AI cartoon placeholder: wine bottle and glass on wooden table
2026-06-15 11:06 | CREATE | media/placeholders/placeholder-food.png | AI cartoon placeholder: charcuterie board top-down
